time,altitude,phase,airspeed,ergy
6.88505e+06,59592.5,108.663,2118.51,2.77562e+06,2.77564e+06
6.88506e+06,59347.3,106.793,2118.8,2.77426e+06,2.77428e+06
6.88507e+06,59111.4,105.01,2119.07,2.77291e+06,2.77293e+06
6.88508e+06,58861.2,103.138,2119.34,2.77144e+06,2.77146e+06
6.88509e+06,58608.4,101.266,2119.58,2.7699e+06,2.76992e+06
6.8851e+06,58364.7,99.4804,2119.79,2.76837e+06,2.76838e+06
6.88511e+06,58105.9,97.6058,2120,2.76669e+06,2.76671e+06
6.88512e+06,57843.6,95.7302,2120.18,2.76494e+06,2.76496e+06
6.88513e+06,57590.4,93.9424,2120.33,2.7632e+06,2.76322e+06
6.88514e+06,57320.8,92.0651,2120.47,2.76129e+06,2.76131e+06
6.88515e+06,57047,90.1869,2120.59,2.7593e+06,2.75932e+06
6.88516e+06,56781.9,88.3966,2120.68,2.75732e+06,2.75734e+06
6.88517e+06,56498.9,86.5168,2120.75,2.75516e+06,2.75518e+06
6.88518e+06,56210.7,84.636,2120.8,2.75289e+06,2.75291e+06
6.88519e+06,55930.9,82.8433,2120.82,2.75064e+06,2.75066e+06
6.8852e+06,55631.2,80.9609,2120.81,2.74817e+06,2.74819e+06
6.88521e+06,55325.1,79.0776,2120.78,2.74558e+06,2.7456e+06
6.88522e+06,55027,77.2825,2120.72,2.743e+06,2.74302e+06
6.88523e+06,54706.7,75.3976,2120.63,2.74017e+06,2.74019e+06
6.88524e+06,54378.5,73.5119,2120.5,2.73719e+06,2.73721e+06
6.88525e+06,54057.8,71.7145,2120.34,2.73421e+06,2.73423e+06
6.88526e+06,53712.1,69.8272,2120.14,2.73092e+06,2.73094e+06
6.88527e+06,53356.6,67.9391,2119.89,2.72746e+06,2.72748e+06
6.88528e+06,53008,66.1394,2119.61,2.72398e+06,2.724e+06
6.88529e+06,52631.1,64.2498,2119.26,2.72013e+06,2.72015e+06
6.8853e+06,52242.1,62.3594,2118.86,2.71604e+06,2.71607e+06
6.88531e+06,51859.3,60.5576,2118.42,2.71193e+06,2.71195e+06
6.88532e+06,51444,58.6658,2117.88,2.70734e+06,2.70737e+06
6.88533e+06,51028.1,56.8338,2117.29,2.70264e+06,2.70265e+06
6.88534e+06,50596.2,54.9929,2116.61,2.69759e+06,2.6976e+06
6.88535e+06,50137,53.1066,2115.81,2.69207e+06,2.69209e+06
6.88536e+06,49671.1,51.2645,2114.93,2.68631e+06,2.68632e+06
6.88537e+06,49174.5,49.3772,2113.9,2.67998e+06,2.67999e+06
6.88538e+06,48669.3,47.5342,2112.76,2.67334e+06,2.67335e+06
6.88539e+06,48129.5,45.646,2111.44,2.66601e+06,2.66603e+06
6.8854e+06,47579,43.8023,2109.97,2.65828e+06,2.6583e+06
6.88541e+06,46989.2,41.9137,2108.26,2.64970e+06,2.64972e+06
6.88542e+06,46386,40.0698,2106.35,2.64059e+06,2.64061e+06
6.88543e+06,45737.9,38.1813,2104.11,2.63039e+06,2.63042e+06
6.88544e+06,45073.2,36.3378,2101.6,2.61948e+06,2.6195e+06
6.88545e+06,44357,34.4501,2098.64,2.60717e+06,2.6072e+06
6.88546e+06,43620.2,32.6079,2095.3,2.59389e+06,2.59392e+06
6.88547e+06,42823.7,30.7222,2091.33,2.57878e+06,2.57881e+06
6.88548e+06,42001.6,28.8828,2086.78,2.56225e+06,2.56228e+06
6.88549e+06,41109.6,27.0009,2081.32,2.54321e+06,2.54324e+06
6.8855e+06,40185.6,25.1664,2075.01,2.52216e+06,2.52219e+06
6.88551e+06,39179,23.2911,2067.28,2.49745e+06,2.49749e+06
6.88552e+06,38131.7,21.4651,2058.16,2.46957e+06,2.46961e+06
6.88553e+06,36999.1,19.6213,2046.78,2.4364e+06,2.43642e+06
6.88554e+06,35775.1,17.7697,2032.24,2.39606e+06,2.39609e+06
6.88555e+06,34475.9,15.9518,2013.81,2.34742e+06,2.34744e+06
6.88556e+06,33076.4,14.1497,1990,2.28744e+06,2.28746e+06
6.88557e+06,31564,12.3688,1959.02,2.21292e+06,2.21295e+06
