time,facing_dot_north
5732646.88199756,-9.06521622320208E-05
5732646.98199756,-9.16861010624733E-05
5732647.08199755,-0.000107144969877894
5732647.18199755,-0.000122380044628513
5732647.28199755,-0.000140235309041714
5732647.38199755,-0.000162641296815396
5732647.48199755,-0.000180901329481033
5732647.58199754,-0.000214907945260931
5732647.68199754,-0.000223747892563276
5732647.78199754,-0.000241096534651864
5732647.88199754,-0.000243636966738922
5732647.98199753,-0.000257088731071812
5732648.08199753,-0.000253931504778267
5732648.18199753,-0.000247101810552437
5732648.28199753,-0.000236768827405744
5732648.38199753,-0.00021578523721717
5732648.48199752,-0.00019181597344123
5732648.58199752,-0.000179073007309486
5732648.68199752,-0.000138992242702535
5732648.78199752,-0.000134317739251259
5732648.88199751,-0.000108819593555568
5732648.98199751,-0.000101108748126055
5732649.08199751,-7.0210903310185E-05
5732649.18199751,-6.26375179098996E-05
5732649.28199751,-5.19416908564804E-05
5732649.3819975,-6.90094736806985E-05
5732649.4819975,-5.89922071182953E-05
5732649.5819975,-6.09038052011162E-05
5732649.6819975,-6.42201080781889E-05
5732649.78199749,-8.99321780567723E-05
5732649.88199749,-0.000123782707800733
5732649.98199749,-0.000130831201349316
5732650.08199749,-0.000149978904410311
5732650.18199749,-0.000170555820457372
5732650.28199748,-0.000206112002713573
5732650.38199748,-0.000207235184942966
5732650.48199748,-0.000238134083568554
5732650.58199748,-0.000227001577042843
5732650.68199747,-0.000237990892410691
5732650.78199747,-0.00024237128977287
5732650.88199747,-0.000247040951464816
5732650.98199747,-0.000228641214370014
5732651.08199747,-0.000220555199336805
5732651.18199746,-0.000204205387561442
5732651.28199746,-0.000188534022696269
5732651.38199746,-0.000168356915068882
5732651.48199746,-0.000151353610585054
5732651.58199745,-0.000157517395977174
5732651.68199745,-0.000125524324120971
5732651.78199745,-0.000114425799081574
5732651.88199745,-0.000120735400521298
5732651.98199745,-0.000135895284642466
5732652.08199744,-0.000114873194232946
5732652.18199744,-0.000140296571919104
5732652.28199744,-0.000136404645404647
5732652.38199744,-0.000125121425381029
5732652.48199743,-0.00013556039765624
5732652.58199743,-0.000156573594014964
5732652.68199743,-0.000177292818328136
5732652.78199743,-0.00019049213933147
5732652.88199743,-0.000220961545234384
5732652.98199742,-0.000267133090522601
5732653.08199742,-0.000282071492081411
5732653.18199742,-0.000290217394111684
5732653.28199742,-0.000340721657631923
5732653.38199741,-0.000360770682902133
5732653.48199741,-0.000360045567659728
5732653.58199741,-0.000391740397690971
5732653.68199741,-0.000441280934495936
5732653.78199741,-0.000368936058481149
5732653.8819974,-0.000390476352466618
5732653.9819974,-0.000413887941953198
5732654.0819974,-0.000422353846171323
5732654.1819974,-0.000414169784064485
5732654.28199739,-0.00038734096563038
5732654.38199739,-0.000358803732882949
5732654.48199739,-0.000346571133170366
5732654.58199739,-0.000382012148811805
5732654.68199738,-0.000319169470029052
5732654.78199738,-0.000296472868012817
5732654.88199738,-0.000330665253942889
5732654.98199738,-0.00027539802637294
5732655.08199738,-0.000261406052909417
5732655.18199737,-0.000270564167293619
5732655.28199737,-0.000246245915441288
5732655.38199737,-0.000274160047496694
5732655.48199737,-0.000264345184403702
5732655.58199736,-0.000254376709680329
5732655.68199736,-0.00028770704548805
5732655.78199736,-0.000277498500827279
5732655.88199736,-0.000257160877063866
5732655.98199736,-0.000328186355256814
5732656.08199735,-0.000279149420502272
5732656.18199735,-0.000300479544178782
5732656.28199735,-0.000287621415255532
5732656.38199735,-0.000324201368721429
5732656.48199734,-0.000326388884416612
5732656.58199734,-0.000336255951942643
5732656.68199734,-0.000328165315301296
5732656.78199734,-0.000293824551663022
5732656.88199734,-0.000302213011927306
5732656.98199733,-0.000299589951196254
5732657.08199733,-0.000292708719052783
5732657.18199733,-0.000215174485920842
5732657.28199733,-0.00024258073798746
5732657.38199732,-0.000218413096619392
5732657.48199732,-0.000208234886021317
5732657.58199732,-0.000194403794685126
5732657.68199732,-0.000184086630348526
5732657.78199732,-0.000174477842302914
5732657.88199731,-0.000167335288332629
5732657.98199731,-0.000162270022687995
5732658.08199731,-0.000159053845585539
5732658.18199731,-0.000158048493025548
5732658.2819973,-0.000158596930191413
5732658.3819973,-0.000161108985492182
5732658.4819973,-0.000163779823171735
5732658.5819973,-0.000168364143131154
5732658.6819973,-0.000172860091754681
