time,altitude,phase,airspeed,specific_energy
8.78694e+06,60494.3,113.062,2117.48,2.78076e+06,2.78076e+06
8.78695e+06,60269.6,111.225,2117.77,2.77956e+06,2.77956e+06
8.78696e+06,60043.1,109.387,2118.04,2.77831e+06,2.77831e+06
8.78697e+06,59814.7,107.548,2118.3,2.77700e+06,2.77701e+06
8.78698e+06,59584.3,105.709,2118.54,2.77564e+06,2.77565e+06
8.78699e+06,59351.8,103.868,2118.76,2.77423e+06,2.77423e+06
8.787e+06,59116.9,102.026,2118.96,2.77275e+06,2.77275e+06
8.78701e+06,58879.5,100.184,2119.15,2.7712e+06,2.7712e+06
8.78702e+06,58639.2,98.3411,2119.31,2.76959e+06,2.76959e+06
8.78703e+06,58396,96.4972,2119.44,2.7679e+06,2.7679e+06
8.78704e+06,58149.5,94.6526,2119.56,2.76614e+06,2.76614e+06
8.78705e+06,57899.6,92.8071,2119.65,2.7643e+06,2.7643e+06
8.78706e+06,57645.9,90.9609,2119.72,2.76237e+06,2.76237e+06
8.78707e+06,57388,89.1139,2119.77,2.76036e+06,2.76036e+06
8.78708e+06,57125.6,87.2661,2119.79,2.75826e+06,2.75826e+06
8.78709e+06,56858.3,85.4176,2119.78,2.75606e+06,2.75606e+06
8.7871e+06,56585.9,83.5683,2119.75,2.75377e+06,2.75377e+06
8.78711e+06,56307.8,81.7184,2119.69,2.75137e+06,2.75137e+06
8.78712e+06,56023.7,79.8677,2119.61,2.74886e+06,2.74885e+06
8.78713e+06,55733.1,78.0163,2119.49,2.74622e+06,2.74622e+06
8.78714e+06,55435.3,76.1642,2119.34,2.74346e+06,2.74346e+06
8.78715e+06,55129.9,74.3113,2119.16,2.74057e+06,2.74057e+06
8.78716e+06,54816.3,72.4578,2118.94,2.73752e+06,2.73752e+06
8.78717e+06,54494,70.6037,2118.69,2.73433e+06,2.73433e+06
8.78718e+06,54162.3,68.7488,2118.39,2.73096e+06,2.73096e+06
8.78719e+06,53820.5,66.8933,2118.04,2.72741e+06,2.72741e+06
8.7872e+06,53467.8,65.0371,2117.65,2.72365e+06,2.72365e+06
8.78721e+06,53103.4,63.1803,2117.2,2.71968e+06,2.71968e+06
8.78722e+06,52726.5,61.3229,2116.68,2.71547e+06,2.71547e+06
8.78723e+06,52336.2,59.4649,2116.1,2.71101e+06,2.71101e+06
8.78724e+06,51931.7,57.6064,2115.44,2.70625e+06,2.70625e+06
8.78725e+06,51511.6,55.7473,2114.69,2.70118e+06,2.70118e+06
8.78726e+06,51074.9,53.8877,2113.85,2.69576e+06,2.69576e+06
8.78727e+06,50620.4,52.0277,2112.89,2.68996e+06,2.68996e+06
8.78728e+06,50146.7,50.1673,2111.82,2.68372e+06,2.68372e+06
8.78729e+06,49652.6,48.3065,2110.6,2.67702e+06,2.67702e+06
8.7873e+06,49136.4,46.4455,2109.22,2.66979e+06,2.66979e+06
8.78731e+06,48596.2,44.5843,2107.66,2.66196e+06,2.66197e+06
8.78732e+06,48030.3,42.7231,2105.87,2.65345e+06,2.65345e+06
8.78733e+06,47436.6,40.8619,2103.83,2.64415e+06,2.64415e+06
8.78734e+06,46812.9,39.0011,2101.48,2.63396e+06,2.63396e+06
8.78735e+06,46156.8,37.1407,2098.77,2.62274e+06,2.62274e+06
8.78736e+06,45465.5,35.2811,2095.65,2.61034e+06,2.61034e+06
8.78737e+06,44735.8,33.4225,2092.04,2.59659e+06,2.59659e+06
8.78738e+06,43964.2,31.5653,2087.85,2.58128e+06,2.58128e+06
8.78739e+06,43147,29.7101,2082.98,2.56414e+06,2.56414e+06
8.7874e+06,42279.8,27.8572,2077.28,2.54488e+06,2.54488e+06
8.78741e+06,41357.8,26.0076,2070.63,2.52317e+06,2.52317e+06
8.78742e+06,40375.5,24.1619,2062.81,2.49857e+06,2.49857e+06
8.78743e+06,39326.6,22.3212,2053.47,2.47032e+06,2.47032e+06
8.78744e+06,38204.1,20.4869,2042.2,2.43752e+06,2.43752e+06
8.78745e+06,36999.9,18.661,2028.3,2.39878e+06,2.39878e+06
8.78746e+06,35705.1,16.8462,2010.64,2.35181e+06,2.35181e+06
8.78747e+06,34309,15.0463,1987.84,2.294e+06,2.294e+06
8.78748e+06,32799.1,13.2668,1958.09,2.22204e+06,2.22204e+06
8.78749e+06,31161.1,11.5148,1918.99,2.13175e+06,2.13175e+06
8.7875e+06,29379.1,9.80065,1866.59,2.01674e+06,2.01674e+06
8.78751e+06,27437.2,8.13926,1794.85,1.86805e+06,1.86805e+06
8.78752e+06,25321.5,6.55219,1696.16,1.67675e+06,1.67675e+06
8.78753e+06,23023.8,5.06834,1563.49,1.4397e+06,1.4397e+06
8.78754e+06,20551.2,3.72395,1389.46,1.16016e+06,1.16016e+06
8.78755e+06,17962.9,2.57071,1150.85,833259,833259
8.78756e+06,15364,1.65766,881.415,535354,535354
8.78757e+06,12878.8,1.00106,616.32,313569,313569
8.78757e+06,12642.3,0.949144,591.489,296350,296350
8.78757e+06,12408.5,0.899606,567.152,280051,280051
8.78757e+06,12177.5,0.8524,543.319,264643,264643
8.78757e+06,11949.5,0.807483,520.006,250100,250100
8.78758e+06,11724.6,0.764807,497.244,236401,236401
8.78758e+06,11502.9,0.724322,475.076,223532,223532
8.78758e+06,11284.5,0.685971,453.523,211462,211462
8.78758e+06,11069.6,0.649706,432.442,200092,200092
8.78758e+06,10858.3,0.61549,411.644,189316,189316
8.78758e+06,10651.2,0.583322,389.997,178680,178680
8.78758e+06,10449.9,0.553378,364.775,167255,167255
8.78758e+06,10257.2,0.525947,336.184,155407,155407
8.78758e+06,10074.1,0.501097,309.635,145098,145098
8.78758e+06,9897.66,0.478322,292.615,138299,138299
8.78759e+06,9723.21,0.456927,282.745,133804,133804
8.78759e+06,9548.03,0.436523,276.366,130357,130357
8.78759e+06,9370.9,0.416925,271.701,127395,127395
8.78759e+06,9191.34,0.398041,267.885,124657,124657
8.78759e+06,9009.25,0.379825,264.499,122023,122023
8.78759e+06,8824.68,0.36225,261.44,119462,119462
8.78759e+06,8637.67,0.345288,258.717,116972,116972
8.78759e+06,8448.25,0.328913,256.33,114551,114551
8.78759e+06,8256.43,0.3131,254.223,112184,112184
8.78759e+06,8062.27,0.297826,252.346,109855,109855
8.7876e+06,7865.83,0.283075,250.659,107554,107554
8.7876e+06,7667.2,0.268829,249.125,105273,105273
8.7876e+06,7466.48,0.255075,247.715,103002,103002
8.7876e+06,7263.77,0.241798,246.4,100738,100738
8.7876e+06,7059.21,0.228987,245.159,98474,98473.6
8.7876e+06,6852.92,0.21663,243.973,96207,96206.8
8.7876e+06,6645.06,0.204716,242.829,93935,93934.9
8.7876e+06,6435.76,0.193231,241.715,91657,91656.5
8.7876e+06,6225.17,0.182167,240.621,89370,89370.4
8.7876e+06,6013.44,0.17151,239.538,87076,87075.8
8.78761e+06,5800.71,0.161249,238.459,84772,84772.2
8.78761e+06,5587.11,0.151375,237.378,82460,82459.6
8.78761e+06,5372.8,0.141875,236.29,80138,80138
8.78761e+06,5157.89,0.13274,235.19,77808,77807.8
8.78761e+06,4942.53,0.123959,234.076,75469,75469.5
8.78761e+06,4726.83,0.115522,232.945,73124,73123.7
8.78761e+06,4510.92,0.107418,231.794,70771,70771.1
8.78761e+06,4294.91,0.0996392,230.622,68413,68412.6
8.78761e+06,4078.91,0.0921747,229.429,66049,66049.1
8.78761e+06,3863.02,0.0850154,228.214,63682,63681.6
8.78762e+06,3647.34,0.0781523,226.976,61311,61311.1
8.78762e+06,3431.96,0.0715768,225.716,58939,58938.6
8.78762e+06,3216.97,0.0652805,224.435,56565,56565
8.78762e+06,3002.46,0.0592554,223.132,54191,54191.5
8.78762e+06,2788.5,0.0534938,221.809,51819,51818.9
8.78762e+06,2575.16,0.047988,220.466,49448,49448.4
8.78762e+06,2362.52,0.0427305,219.104,47081,47080.8
8.78762e+06,2150.65,0.0377131,217.723,44717,44717.1
8.78762e+06,1939.61,0.0329277,216.326,42358,42358.2
8.78762e+06,1729.45,0.0283655,214.912,40005,40005
8.78763e+06,1520.25,0.0240172,213.483,37658,37658.3
8.78763e+06,1312.04,0.0198731,212.04,35319,35319.1
8.78763e+06,1104.9,0.0159233,210.583,32988,32988
8.78763e+06,898.868,0.0121587,209.072,30657,30657.3
8.78763e+06,700.26,0.00868021,184.658,23908,23908.4
8.78763e+06,539.701,0.00602722,142.768,15479,15479.2
