time,altitude,phase_angle,airspeed
3988630.83522791,70191.7417917621,-114.770868328587,2095.43270577333
3988640.81522792,70184.6918871556,-116.558699609141,2095.449721113
3988650.81522793,70171.1463443064,-118.346592750641,2095.49898066202
3988660.81522794,70153.8615288504,-120.138155868746,2095.56049287584
3988670.81522795,70132.9945104646,-121.929825015641,2095.63393877103
3988680.81522796,70109.1543638096,-123.721618867565,2095.71923454016
3988690.81522797,70082.6042934435,-125.513555951749,2095.81627660192
3988700.81522798,70053.2469381605,-127.305654640468,2095.92495506666
3988710.81522799,70020.8295771086,-129.097933126264,2096.04514682786
3988720.815228,69985.3699839661,-130.890409401104,2096.17671163094
3988730.81522801,69946.9079201245,-132.683101189194,2096.31930758291
3988740.81522802,69905.4860090832,-134.476025575834,2096.47204723281
3988750.81522803,69861.1499706946,-136.269198693248,2096.63396734641
3988760.81522804,69813.9482543591,-138.062635889032,2096.8045164246
3988770.81522804,69763.9304309421,-139.856352118098,2096.9836021422
3988780.81522805,69711.1477009503,-141.650362223374,2097.17125357005
3988790.81522806,69655.6544862799,-143.444680664549,2097.36677391227
3988800.81522807,69597.5066488929,-145.239321089997,2097.56950939965
3988810.81522808,69536.7617644202,-147.034296578555,2097.77903200135
3988820.81522809,69473.478133747,-148.829619679877,2097.99487510933
3988830.8152281,69407.7160635638,-150.625302395996,2098.21657452737
3988840.81522811,69339.5348909906,-152.421356165977,2098.44363599187
3988850.81522812,69268.9962951753,-154.217791856667,2098.67557721167
3988860.81522813,69196.160100436,-156.0146197618,2098.91190341971
3988870.81522814,69121.0881123565,-157.811849598674,2099.1521268967
3988880.81522815,69043.8396544736,-159.609490519551,2099.39576663319
3988890.81522816,68964.4755301687,-161.407551106476,2099.64235149519
3988900.81522817,68883.0540729122,-163.206039401923,2099.89142941984
3988910.81522817,68799.633378153,-165.004962912255,2100.14256030863
3988920.81522818,68714.2701844247,-166.804328637106,2100.39534230879
3988930.81522819,68627.0198357764,-168.604143092324,2100.64936910189
3988940.8152282,68537.9361728627,-170.40441230782,2100.904256477
3988950.81522821,68447.0698504117,-172.205141852335,2101.15961607383
3988960.81522822,68354.469756085,-174.006336843919,2101.41509610338
3988970.81522823,68260.1844740734,-175.808001979132,2101.6703429769
3988980.81522824,68164.2568021939,-177.610141528102,2101.92500476468
3988990.81522825,68066.7312334877,-179.412759354259,2102.17873909355
3989000.81522826,67967.644409324,178.784141082802,2102.43119086773
3989010.81522827,67867.0354430425,176.980556719702,2102.68202021123
3989020.81522828,67764.9340320784,175.176484886418,2102.93085853326
3989030.81522829,67661.3727296971,173.371923307332,2103.17734411104
3989040.8152283,67556.3769530131,171.566870101085,2103.42109455997
3989050.81522831,67449.9702493266,169.761323775675,2103.6617178606
3989060.81522831,67342.168932927,167.95528323754,2103.89881768855
3989070.81522832,67232.9957058893,166.148747769077,2104.13199379291
3989080.81522833,67122.4576974766,164.341717033687,2104.36084902709
3989090.81522834,67010.5575304704,162.534191040167,2104.58501031443
3989100.81522835,66897.2981743685,160.726170107513,2104.80413933701
3989110.81522836,66782.6739786192,158.917654807881,2105.01797433797
3989120.81522837,66666.6775045008,157.108645882419,2105.22631771089
3989130.81522838,66549.2863333905,155.299144176048,2105.42902397567
3989140.81522839,66430.4438766572,153.489150599443,2105.62596237998
3989150.8152284,66310.1240791215,151.678666067925,2105.8170516795
3989160.81522841,66188.2973797102,149.867691486374,2106.00221762957
3989170.81522842,66064.9254910778,148.056227701067,2106.181413339
3989180.81522843,65939.962982303,146.244275471534,2106.35461047501
3989190.81522844,65813.3569153139,144.431835431465,2106.52180164944
3989200.81522845,65685.047044826,142.618908057622,2106.68300567586
3989210.81522845,65554.9666395515,140.805493625334,2106.83825971172
3989220.81522846,65423.0411625849,138.991592175626,2106.98762427768
3989230.81522847,65289.1897926169,137.177203474886,2107.1311843288
3989240.81522848,65153.324605667,135.362326981289,2107.26904206969
3989250.81522849,65015.3509134045,133.546961802919,2107.40132765065
3989260.8152285,64875.1666395167,131.731106663061,2107.52818613828
3989270.81522851,64732.6632161492,129.91475986158,2107.64978493967
3989280.81522852,64587.7247970784,128.097919243032,2107.76631049571
3989290.81522853,64440.2283750805,126.28058215113,2107.87797233308
3989300.81522854,64290.0439066783,124.462745403154,2107.98498951356
3989310.81522855,64137.0345375012,122.644405249359,2108.08760790292
3989320.81522856,63981.0560481228,120.825557336737,2108.18608665114
3989330.81522857,63821.9572515506,119.006196677723,2108.28069439505
3989340.81522858,63659.5791972696,117.186317619874,2108.3717186664
3989350.81522858,63493.7556134166,115.365913814629,2108.45944679781
3989360.81522859,63324.3126225777,113.544978194914,2108.54417477358
3989370.8152286,63151.0687513408,111.723502940913,2108.62622352423
3989380.81522861,62973.834831001,109.901479439373,2108.70592576712
3989390.81522862,62792.4145582997,108.078898254395,2108.7836326257
3989400.81522863,62606.6053253786,106.255749086096,2108.85970724188
3989410.81522864,62416.1959910505,104.432020742793,2108.93452276795
3989420.81522865,62220.967785797,102.607701107072,2109.00846519371
3989430.81522866,62020.6939237493,100.782777175693,2109.08168999051
3989440.81522867,61815.1396603436,98.9572353408442,2109.15400549853
3989450.81522868,61604.0619451447,97.1310615566386,2109.22509789227
3989460.81522869,61387.2083458202,95.3042413950466,2109.29456230725
3989470.8152287,61164.31734748,93.4767601230666,2109.36186670404
3989480.81522871,60935.1164693423,91.6486027853803,2109.42633411492
3989490.81522872,60699.3222371656,89.8197543067359,2109.48713773201
3989500.81522872,60456.6384326963,87.990199610895,2109.5432465538
3989510.81522873,60206.755670691,86.1599237722561,2109.59341134575
3989520.81522874,59949.349393095,84.3289121849224,2109.63611983152
3989530.81522875,59684.0791980434,82.4971507741766,2109.66955110522
3989540.81522876,59410.5863676075,80.664626233704,2109.69152938852
3989550.81522877,59128.4919571934,78.8313263284258,2109.69944875633
3989560.81522878,58837.3949243242,76.9972402253218,2109.6902435662
3989570.81522879,58536.8693465424,75.1623587047625,2109.66088923991
3989580.8152288,58226.4621993143,73.3266737334211,2109.60886466012
3989590.81522881,57905.6921907454,71.49017824591,2109.53152460039
3989600.81522882,57574.0502092071,69.6528662485453,2109.42605743986
3989610.81522883,57230.99963599,67.8147331880966,2109.28774072098
3989620.81522884,56875.9769592762,65.9757775442139,2109.11316967569
3989630.81522885,56508.3223305313,64.1359982241183,2108.89976208524
3989640.81522885,56127.3443884302,62.295395045354,2108.6436349342
3989650.81522886,55732.3114091012,60.4539697876503,2108.34045529278
3989660.81522887,55322.4338133452,58.6117266425633,2107.98424783629
3989670.81522888,54896.8781523312,56.7686740563561,2107.56662869926
3989680.81522889,54454.7216500861,54.9248254918148,2107.07996898896
3989690.8152289,53994.9954879086,53.0802002568345,2106.51191826623
3989700.81522891,53516.6367122848,51.234824908429,2105.85274293256
3989710.81522892,53018.5048732964,49.3887351977012,2105.08607209681
3989720.81522893,52499.3392863313,47.5419778110637,2104.19613490984
3989730.81522894,51957.7884481854,45.6946126868746,2103.16186670498
3989740.81522895,51392.3486652046,43.8467151972307,2101.96175904207
3989750.81522896,50801.3902669824,41.9983795984628,2100.56594255155
3989760.81522897,50183.1045326719,40.1497219720644,2098.94450596335
3989770.81522898,49535.4959344193,38.3008855152275,2097.0604751141
3989780.81522899,48856.3769833386,36.4520454989842,2094.86765213892
3989790.81522899,48143.2825865404,34.6034138323064,2092.31529108428
3989800.815229,47393.5189348389,32.7552515139235,2089.33662784559
3989810.81522901,46604.016910686,30.9078813655001,2085.84273664313
3989820.81522902,45771.4106436799,29.0617077592867,2081.73132359336
3989830.81522903,44891.8205396427,27.217232445975,2076.87444788057
3989840.81522904,43960.9750364966,25.3750764539234,2071.11877360741
3989850.81522905,42973.9042414076,23.5360107623757,2064.27277001589
3989860.81522906,41925.0659686483,21.7009968913951,2056.07435694211
3989870.81522907,40808.0521359576,19.8712721211052,2046.1968661425
3989880.81522908,39615.6201494187,18.0484067235081,2034.15432803829
3989890.81522909,38339.3684645087,16.2345155903652,2019.27357954363
3989900.8152291,36969.7140363917,14.432444546493,2000.52136447861
3989910.81522911,35495.7465661073,12.646350758295,1976.121469499
3989920.81522912,33904.9256523809,10.8822301274982,1943.86784166597
3989930.81522912,32182.9985277285,9.14842376709681,1900.94793955902
3989940.81522913,30314.1468083228,7.45641378578117,1843.31530932408
3989950.81522914,28282.9616971675,5.8226401992597,1764.44365327322
3989960.81522915,26077.9755257937,4.27100198722655,1655.54410981183
3989970.81522916,23697.2969109417,2.83373870932089,1509.11700935365
3989980.81522917,21157.6283174349,1.54950554274499,1320.1752252954
3989990.81522918,18509.396423613,0.459583675334384,1091.61853906646
3990000.81522919,15849.8364467483,-0.401533714488642,836.58819594629
3990010.8152292,13323.7462483589,-1.01862323704283,585.723141054145
3990020.81522921,11076.2683644985,-1.41196384658118,374.172641571637
3990030.81522922,9220.87001034757,-1.62644670088547,259.980365881121
3990040.81522923,7245.95777051104,-1.76880550395247,243.727963599819
3990050.81522924,5101.59926379612,-1.86497854819905,238.159739528595
3990060.81522925,2880.76310886024,-1.92912910023889,231.641821108617
3990070.81522926,770.926415023394,-1.97773151665665,147.924680816667
3990080.81522926,141.040101576364,-2.00052012981312,21.7831105945298
3990090.81522927,40.4567386974813,-2.00055434757198,3.55485176210081
