time,altitude,phase_angle,airspeed
3988619.68948574,70181.6500044395,-112.767105244042,2100.19659028003
3988629.66948575,70191.1323393749,-114.557113984296,2099.80736766032
3988639.66948576,70185.3183435518,-116.348701717139,2095.44926231475
3988649.66948577,70172.027985504,-118.140174840808,2095.49745261758
3988659.66948578,70154.9985851839,-119.931733766312,2095.55823159075
3988669.66948579,70134.3518282601,-121.723397562419,2095.63093955838
3988679.6694858,70110.6797954877,-123.515184896793,2095.71549136282
3988689.66948581,70084.2877591745,-125.307114306759,2095.8118009966
3988699.66948582,70055.1186249905,-127.099204168078,2095.91974681031
3988709.66948582,70022.8953027969,-128.891472675489,2096.03920862983
3988719.66948583,69987.6289293565,-130.683937829156,2096.17004790515
3988729.66948584,69949.3591498171,-132.476617364651,2096.31195264271
3988739.66948585,69908.1281740671,-134.269528416302,2096.46406097582
3988749.66948586,69863.9819977208,-136.062687171909,2096.62540041831
3988759.66948587,69816.9685612249,-137.856109012959,2096.7953899759
3988769.66948588,69767.1364800757,-139.649808905305,2096.97391562056
3988779.66948589,69714.5379351346,-141.443801699496,2097.16102070044
3988789.6694859,69659.2260596877,-143.238101895223,2097.35604893426
3988799.66948591,69601.2574176992,-145.032723182136,2097.55833019521
3988809.66948592,69540.6896033532,-146.827678672445,2097.76742470403
3988819.66948593,69477.5804662679,-148.622980953605,2097.98287770666
3988829.66948594,69411.9909287986,-150.418642059703,2098.20421714794
3988839.66948595,69343.9801157981,-152.21467346353,2098.43095888926
3988849.66948596,69273.6086071815,-154.011086068255,2098.66260464549
3988859.66948596,69200.9376809483,-155.807890198284,2098.89866995356
3988869.66948597,69126.028121106,-157.60509560625,2099.13866662431
3988879.66948598,69048.9400973184,-159.402711475776,2099.38211178408
3988889.66948599,68969.7343038726,-161.200746431328,2099.62854502918
3988899.669486,68888.468942445,-162.99920855197,2099.87749957921
3988909.66948601,68805.202165461,-164.798105376403,2100.128546106
3988919.66948602,68719.9909310589,-166.597443936359,2100.3812642085
3988929.66948603,68632.8910578073,-168.397230772745,2100.63526263622
3988939.66948604,68543.9545653943,-170.197471945936,2100.89014079585
3988949.66948605,68453.2350226621,-171.998173048581,2101.14552680431
3988959.66948606,68360.7808677017,-173.799339228018,2101.4010523629
3988969.66948607,68266.6401555589,-175.600975198393,2101.65636587406
3988979.66948608,68170.8580546655,-177.403085249229,2101.91111403524
3988989.66948609,68073.4771519678,-179.205673263176,2102.16495555563
3988999.66948609,67974.5353642729,178.991257283956,2102.41753783433
3989009.6694861,67874.071299998,177.187703309425,2102.66851895817
3989019.66948611,67772.1154384974,175.383662129193,2102.91752645626
