time,altitude,phase_angle,airspeed
3988630.23475916,70192.0644737103,-114.662977109029,2095.43031035343
3988640.21475917,70185.0821839969,-116.450805123483,2095.44648750611
3988650.21475918,70171.5520929233,-118.238694581266,2095.49575938434
3988660.21475919,70154.2810174851,-120.030253942577,2095.55722329362
3988670.2147592,70133.4245619718,-121.821919241048,2095.63061150131
3988680.21475921,70109.5849515209,-123.61370915537,2095.71585675756
3988690.21475922,70083.0302501412,-125.405642225872,2095.8128526112
3988700.21475923,70053.6803187999,-127.197736834319,2095.92149388119
3988710.21475923,70021.2714185584,-128.990011183875,2096.04165554458
3988720.21475924,69985.8187955812,-130.782483279829,2096.17319600647
3988730.21475925,69947.3616943803,-132.575170851993,2096.31577803425
3988740.21475926,69905.9430458059,-134.368091007023,2096.46852169213
3988750.21475927,69861.6085947654,-136.161259896065,2096.63046147877
3988760.21475928,69814.4068970811,-137.95469288232,2096.80104085616
3988770.21475929,69764.3869953672,-139.748404934632,2096.98016710123
3988780.2147593,69711.6010205895,-141.542410905227,2097.16786580533
3988790.21475931,69656.1025992393,-143.336725266808,2097.3634446754
3988800.21475932,69597.9473758856,-145.131361683578,2097.56625343363
3988810.21475933,69537.1938989602,-146.926333246921,2097.77585631629
3988820.21475934,69473.9008280674,-148.721652523458,2097.99179473297
3988830.21475935,69408.1270633445,-150.517331525958,2098.21359550603
3988840.21475936,69339.9330487211,-152.313381705913,2098.44077294506
3988850.21475937,69269.3804071146,-154.109813942915,2098.67283646256
3988860.21475937,69196.5298389667,-155.90663853952,2098.90929421185
3988870.21475938,69121.441093766,-157.70386522662,2099.14965794437
3988880.21475939,69044.1762270224,-159.50150316134,2099.39344735677
3988890.2147594,68964.7932505214,-161.299560944892,2099.64019367325
3988900.21475941,68883.3525812866,-163.098046628034,2099.88944593475
3988910.21475942,68799.9121707841,-164.896967730871,2100.14075477638
3988920.21475943,68714.5277645357,-166.69633125697,2100.39371889834
3988930.21475944,68627.2561815042,-168.496143728646,2100.64793597176
3988940.21475945,68538.1491880924,-170.296411179849,2100.90301017289
3988950.21475946,68447.2595474883,-172.097139185865,2101.15856745326
3988960.21475947,68354.636376799,-173.898332872527,2101.41425113547
3988970.21475948,68260.3281197433,-175.699996940602,2101.66970670713
3988980.21475949,68164.3765359932,-177.502135659972,2101.92456467317
3988990.2147595,68066.8265022069,-179.304752886906,2102.17848855488
3989000.2147595,67967.7165615647,178.89214791798,2102.43114026416
3989010.21475951,67867.0825607904,177.088563691886,2102.68216064266
3989020.21475952,67764.9593850343,175.284491769804,2102.9311896223
3989030.21475953,67661.3755432306,173.479929883604,2103.17785700059
3989040.21475954,67556.3581996271,171.674876147449,2103.42179497082
3989050.21475955,67449.9287795228,169.869329074148,2103.66260839171
3989060.21475956,67342.1061028772,168.06328756594,2103.89990295812
3989070.21475957,67232.908283402,166.256750907673,2104.13327617723
3989080.21475958,67122.3464624069,164.44971875628,2104.36233255411
3989090.21475959,67010.4291601777,162.642191124096,2104.58669780685
3989100.2147596,66897.1555811336,160.834168336395,2104.80602286903
3989110.21475961,66782.5175389491,159.025650973578,2105.02004915876
3989120.21475962,66666.50499552,157.21663978548,2105.22858093443
3989130.21475963,66549.0999525918,155.407135630862,2105.4314600927
3989140.21475964,66430.2588140484,153.597139434215,2105.62856933729
3989150.21475964,66309.9396753173,151.78665212527,2105.81981743501
3989160.21475965,66188.1133521276,149.975674617016,2106.00513592785
3989170.21475966,66064.742972818,148.164207771091,2106.18447136854
3989180.21475967,65939.7832267645,146.352252362769,2106.3577996735
3989190.21475968,65813.181483151,144.539809041806,2106.52511504632
3989200.21475969,65684.8782517035,142.726878288201,2106.68644208756
3989210.2147597,65554.8063178179,140.91346039139,2106.84180923842
3989220.21475971,65422.8919106023,139.099555403777,2106.99128467863
3989230.21475972,65289.0540879068,137.285163104126,2107.13494629086
3989240.21475973,65153.2053418967,135.470282965163,2107.27290132306
3989250.21475974,65015.2510363025,133.654914107158,2107.40527441854
3989260.21475975,64875.0893704137,131.839055267271,2107.53221373174
3989270.21475976,64732.6118108409,130.022704762732,2107.6538820829
3989280.21475977,64587.7026167078,128.205860453717,2107.77047005215
3989290.21475978,64440.2389169759,126.388519700556,2107.88218382406
3989300.21475978,64290.0907075917,124.570679337581,2107.98924714396
3989310.21475979,64137.1210390425,122.752335628499,2108.09190144171
3989320.2147598,63981.1855100947,120.933484240504,2108.19040431286
3989330.21475981,63822.1323791682,119.114120203222,2108.28502958467
3989340.21475982,63659.8029422031,117.294237882735,2108.37605725673
3989350.21475983,63494.0309076607,115.473830955082,2108.46377479333
3989360.21475984,63324.6431264024,113.652892373088,2108.54848485261
3989370.21475985,63151.4584894528,111.831414335908,2108.6305061739
3989380.21475986,62974.2885462379,110.009388248345,2108.71017142538
3989390.21475987,62792.9379839347,108.18680469653,2108.78783145988
3989400.21475988,62607.2027281745,106.36365339829,2108.86384554601
3989410.21475989,62416.8718063721,104.539923188202,2108.93859361036
3989420.2147599,62221.7264019639,102.715601968138,2109.01245315948
3989430.21475991,62021.5399480844,100.890676757975,2109.08558914001
3989440.21475991,61816.0778872843,99.0651339679726,2109.15780445917
3989450.21475992,61605.0969233519,97.2389595724574,2109.22879589916
3989460.21475993,61388.3450882739,95.4121391629627,2109.29814939872
3989470.21475994,61165.5604991438,93.5846580240415,2109.36533860605
3989480.21475995,60936.4711843297,91.7565012169554,2109.42968405388
3989490.21475996,60700.7933733356,89.9276536855952,2109.4903667291
3989500.21475997,60458.231096216,88.0981003662977,2109.54635501088
3989510.21475998,60208.4750557899,86.2678263458803,2109.59640397263
3989520.21475999,59951.200689822,84.4368170280042,2109.63899878147
3989530.21476,59686.0675043121,82.6050583442923,2109.67232943259
3989540.21476001,59412.7167110033,80.7725369921738,2109.69422129123
3989550.21476002,59130.7700331623,78.9392407325336,2109.70207693462
3989560.21476003,58839.8257408845,77.1051587275241,2109.69282554803
3989570.21476004,58539.4579726866,75.2702817489216,2109.663460515
3989580.21476005,58229.2129460539,73.4346017533974,2109.6114461393
3989590.21476005,57908.6081149515,71.5981116665108,2109.53414147303
3989600.21476006,57577.1294042454,69.7608054627034,2109.42872789069
3989610.21476007,57234.2348304417,67.9226781814324,2109.29256892429
3989620.21476008,56879.3553094954,66.0837265136341,2109.1202757916
3989630.21476009,56511.8684555943,64.2439497387939,2108.90844375319
3989640.2147601,56131.0778450295,62.4033485923947,2108.65328314419
3989650.21476011,55736.2513093831,60.5619252247319,2108.35039107408
3989660.21476012,55326.5804927985,58.7196840998304,2107.99524190272
3989670.21476013,54901.2423741452,56.8766332778636,2107.57891971408
3989680.21476014,54459.3244604827,55.0327860250536,2107.09229815788
3989690.21476015,53999.8396167406,53.1881617303045,2106.52613965709
3989700.21476016,53521.7376242606,51.3427871846545,2105.86762201824
3989710.21476017,53023.8765183632,49.496697840281,2105.10262955488
3989720.21476018,52504.9962966469,47.6499400981088,2104.21447129708
3989730.21476018,51963.7399986549,45.8025735561523,2103.18313792334
3989740.21476019,51398.6203952987,43.9546733681325,2101.98422119908
3989750.2147602,50807.9982645225,42.1063334328454,2100.59159513399
3989760.21476021,50190.0578888474,40.2576695205584,2098.97413489587
3989770.21476022,49542.8305009074,38.4088246684498,2097.09339484085
3989780.21476023,48864.1189289137,36.5599730416493,2094.90515138784
3989790.21476024,48151.4448247501,34.7113264526796,2092.35906448529
3989800.21476025,47402.139983654,32.8631447012394,2089.38712005152
3989810.21476026,46613.1362408517,31.0157495090115,2085.90123210103
3989820.21476027,45781.0482847682,29.1695440113574,2081.79858744015
3989830.21476028,44902.050802227,27.3250290348366,2076.95262864602
3989840.21476029,43971.8055170405,25.4828237714958,2071.20730527039
