time,altitude,phase,airspeed,ergy
5.73602e+06,64637.8,98.3133,2103.43,2.78444e+06,2.78444e+06
5.73603e+06,64454,96.4818,2103.3,2.7827e+06,2.78271e+06
5.73604e+06,64267,94.6752,2103.17,2.78092e+06,2.78093e+06
5.73605e+06,64073.9,92.8683,2103.02,2.77907e+06,2.77907e+06
5.73606e+06,63871.5,91.0356,2102.86,2.77711e+06,2.77712e+06
5.73607e+06,63665.1,89.2278,2102.69,2.7751e+06,2.77511e+06
5.73608e+06,63451.5,87.4197,2102.51,2.77301e+06,2.77302e+06
5.73609e+06,63230.2,85.6111,2102.32,2.77084e+06,2.77084e+06
5.7361e+06,62997.6,83.7766,2102.12,2.76854e+06,2.76855e+06
5.73611e+06,62759.6,81.9671,2101.91,2.76619e+06,2.76619e+06
5.73612e+06,62512.5,80.1572,2101.69,2.76374e+06,2.76374e+06
5.73613e+06,62252.3,78.3213,2101.46,2.76116e+06,2.76116e+06
5.73614e+06,61985.6,76.5103,2101.22,2.75851e+06,2.75851e+06
5.73615e+06,61708.3,74.6989,2100.97,2.75575e+06,2.75575e+06
5.73616e+06,61419.9,72.8869,2100.7,2.75287e+06,2.75287e+06
5.73617e+06,61115.5,71.0488,2100.42,2.74981e+06,2.74982e+06
5.73618e+06,60802.9,69.2357,2100.12,2.74665e+06,2.74666e+06
5.73619e+06,60477.3,67.4219,2099.8,2.74334e+06,2.74334e+06
5.7362e+06,60133.1,65.5821,2099.44,2.7398e+06,2.7398e+06
5.73621e+06,59779.3,63.7671,2099.04,2.73611e+06,2.73611e+06
5.73622e+06,59410.3,61.9516,2098.61,2.7322e+06,2.7322e+06
5.73623e+06,59025.4,60.1354,2098.12,2.72804e+06,2.72804e+06
5.73624e+06,58617.9,58.2931,2097.55,2.72353e+06,2.72353e+06
5.73625e+06,58198.2,56.4757,2096.9,2.71876e+06,2.71877e+06
5.73626e+06,57759.7,54.6578,2096.17,2.71365e+06,2.71365e+06
5.73627e+06,57294.7,52.8138,2095.32,2.70807e+06,2.70808e+06
5.73628e+06,56814.9,50.9948,2094.37,2.70216e+06,2.70217e+06
5.73629e+06,56312.7,49.1755,2093.3,2.69579e+06,2.6958e+06
5.7363e+06,55786.7,47.3557,2092.07,2.68892e+06,2.68892e+06
5.73631e+06,55227.4,45.5101,2090.66,2.68137e+06,2.68138e+06
5.73632e+06,54648.6,43.6898,2089.07,2.67328e+06,2.67329e+06
5.73633e+06,54040.9,41.8695,2087.25,2.66447e+06,2.66448e+06
5.73634e+06,53393.1,40.0236,2085.13,2.6547e+06,2.65471e+06
5.73635e+06,52720.8,38.2035,2082.72,2.6441e+06,2.64411e+06
5.73636e+06,52012.9,36.3839,2079.92,2.63241e+06,2.63242e+06
5.73637e+06,51266.5,34.565,2076.67,2.61945e+06,2.61946e+06
5.73638e+06,50467.3,32.7217,2072.82,2.6048e+06,2.60481e+06
5.73639e+06,49633.9,30.9054,2068.37,2.58861e+06,2.58863e+06
5.7364e+06,48751.8,29.0911,2063.13,2.57041e+06,2.57042e+06
5.73641e+06,47802.9,27.2541,2056.86,2.54952e+06,2.54953e+06
5.73642e+06,46808.7,25.4461,2049.51,2.52604e+06,2.52606e+06
5.73643e+06,45750.8,23.6426,2040.7,2.49909e+06,2.49911e+06
5.73644e+06,44623,21.845,2030.1,2.46794e+06,2.46796e+06
5.73645e+06,43400.3,20.0297,2017.05,2.43113e+06,2.43115e+06
5.73646e+06,42108.5,18.2494,2001.38,2.3886e+06,2.38862e+06
5.73647e+06,40721.6,16.4814,1982.28,2.33866e+06,2.33868e+06
5.73648e+06,39207.1,14.7046,1958.28,2.2783e+06,2.27833e+06
5.73649e+06,37594.9,12.973,1928.35,2.20617e+06,2.2062e+06
5.7365e+06,35852.3,11.2688,1888.81,2.11554e+06,2.11557e+06
5.73651e+06,33966.6,9.60277,1835.15,1.9991e+06,1.99914e+06
5.73652e+06,31896,7.96793,1760.91,1.84736e+06,1.8474e+06
5.73653e+06,29688.8,6.43088,1661.07,1.65696e+06,1.657e+06
5.73654e+06,27318.7,4.99788,1524.65,1.41847e+06,1.41851e+06
5.73655e+06,24772,3.69062,1341.73,1.13338e+06,1.13342e+06
5.73656e+06,22169.2,2.58645,1121.96,839010,839059
5.73657e+06,19561.4,1.70146,874.426,568038,568085
5.73658e+06,17065.1,1.05119,620.536,355211,355256
5.73659e+06,14785.7,0.628846,405.417,223653,223692
5.73659e+06,14575,0.597467,385.74,213901,213940
5.73659e+06,14369.3,0.568064,364.258,203923,203961
5.73659e+06,14170.1,0.540777,341.146,193909,193945
5.7366e+06,13978.3,0.515659,318.456,184631,184667
5.7366e+06,13793.2,0.492529,300.009,177194,177228
5.7366e+06,13612,0.470955,287.389,171790,171823
5.7366e+06,13432.1,0.450561,278.697,167642,167675
5.7366e+06,13251.8,0.431117,272.287,164184,164218
5.7366e+06,13070.4,0.412492,267.162,161097,161132
5.7366e+06,12887.4,0.39461,262.741,158206,158241
5.7366e+06,12702.8,0.377423,258.805,155444,155479
5.7366e+06,12516.5,0.360894,255.286,152787,152822
5.7366e+06,12328.4,0.344991,252.122,150214,150249
5.73661e+06,12138.7,0.329685,249.261,147709,147745
5.73661e+06,11947.3,0.314953,246.654,145259,145295
5.73661e+06,11754.4,0.300772,244.261,142851,142888
5.73661e+06,11559.9,0.287124,242.047,140477,140514
5.73661e+06,11363.9,0.273993,239.979,138128,138165
5.73661e+06,11166.7,0.261363,238.031,135799,135836
5.73661e+06,10968.2,0.249219,236.18,133483,133521
5.73661e+06,10768.6,0.23755,234.407,131178,131215
5.73661e+06,10568.1,0.226343,232.695,128879,128917
5.73661e+06,10366.8,0.215586,231.031,126586,126624
5.73662e+06,10164.7,0.205266,229.404,124296,124334
5.73662e+06,9962.07,0.195371,227.805,122008,122046
5.73662e+06,9759,0.18589,226.224,119722,119760
5.73662e+06,9555.61,0.17681,224.658,117436,117475
5.73662e+06,9352.02,0.168119,223.1,115152,115191
5.73662e+06,9148.34,0.159804,221.547,112870,112909
5.73662e+06,8944.69,0.151852,219.997,110590,110628
5.73662e+06,8741.17,0.144251,218.461,108315,108353
5.73662e+06,8537.83,0.136985,217.055,106070,106109
5.73662e+06,8334.62,0.130037,215.782,103857,103896
5.73663e+06,8131.52,0.123391,214.617,101668,101707
5.73663e+06,7928.52,0.117034,213.541,99499,99538.1
5.73663e+06,7725.63,0.110953,212.536,97346,97385.1
5.73663e+06,7522.85,0.105138,211.588,95206,95245
5.73663e+06,7320.2,0.0995754,210.685,93077,93115.5
5.73663e+06,7117.71,0.0942563,209.819,90956,90994.6
5.73663e+06,6915.42,0.0891706,208.981,88842,88880.9
5.73663e+06,6713.34,0.0843084,208.165,86734,86773.2
5.73663e+06,6511.51,0.0796607,207.366,84632,84670.7
5.73663e+06,6309.96,0.0752183,206.578,82534,82572.8
5.73664e+06,6108.74,0.0709726,205.798,80440,80478.9
5.73664e+06,5907.87,0.0669152,205.023,78350,78388.8
5.73664e+06,5707.39,0.0630381,204.25,76264,76302.1
5.73664e+06,5507.33,0.0593335,203.477,74180,74218.8
5.73664e+06,5307.74,0.0557937,202.702,72100,72138.6
5.73664e+06,5108.63,0.0524115,201.921,70023,70061.7
5.73664e+06,4910.04,0.0491792,201.135,67950,67987.9
5.73664e+06,4712.01,0.0460895,200.342,65879,65917.3
5.73664e+06,4514.55,0.0431341,199.539,63812,63849.9
5.73664e+06,4317.71,0.0403046,198.725,61748,61785.7
5.73665e+06,4121.52,0.0375916,197.9,59687,59724.8
5.73665e+06,3925.99,0.0349846,197.062,57629,57667.2
5.73665e+06,3731.16,0.0324726,196.209,55575,55613.1
5.73665e+06,3537.05,0.0300432,195.341,53525,53562.4
5.73665e+06,3343.7,0.027684,194.456,51478,51515.2
5.73665e+06,3151.13,0.0253822,193.552,49434,49471.7
5.73665e+06,2959.36,0.023126,192.628,47395,47431.8
5.73665e+06,2768.43,0.0209053,191.684,45359,45395.6
5.73665e+06,2578.37,0.0187135,190.716,43326,43363.2
5.73665e+06,2389.19,0.0165486,189.724,41298,41334.7
5.73666e+06,2200.94,0.0144153,188.707,39273,39310
5.73666e+06,2013.64,0.0123269,187.661,37253,37289.3
5.73666e+06,1827.32,0.0103064,186.586,35236,35272.6
5.73666e+06,1642.03,0.00838799,185.479,33224,33260
5.73666e+06,1457.78,0.00661645,184.338,31216,31251.5
5.73666e+06,1274.63,0.00504518,183.16,29211,29247.2
5.73666e+06,1092.6,0.00373048,181.947,27212,27247.6
5.73666e+06,911.759,0.00246711,180.637,25207,25242.7
5.73666e+06,739.961,0.00201747,171.291,21885,21917.9
5.73666e+06,579.515,0.002078,133.184,14521,14546.7
5.73667e+06,463.375,0.00167342,103.285,9854,9874.53
5.73667e+06,371.686,0.00164319,82.7998,7054,7070.64
5.73667e+06,299.246,0.00150481,66.7942,5151,5163.87
5.73667e+06,237.683,0.00105986,51.5468,3648,3658.48
5.73667e+06,193.165,0.000636815,39.9667,2685,2692.36
5.73667e+06,158.038,0.000582966,31.5976,2042,2048.62
5.73667e+06,130.356,0.000563423,24.1195,1564,1568.95
5.73667e+06,106.965,0.000419207,19.6825,1239,1242.48
5.73667e+06,89.8184,0.000302427,15.7094,1001,1004.08
5.73667e+06,76.3582,0.000163949,11.8679,817,819.145
5.73668e+06,65.7383,0.000180109,10.4138,697,698.825
5.73668e+06,56.7927,0.000210618,8.47795,591,592.831
5.73668e+06,50.3386,0.000183987,6.07229,511,512.048
5.73668e+06,41.9665,8.83959e-05,8.76731,448,449.955
