time,altitude,phase,airspeed,ergy
6.69852e+06,60671.5,141.137,2119.48,2.78644e+06,2.78644e+06
6.69853e+06,60458.3,139.273,2119.9,2.7856e+06,2.7856e+06
6.69854e+06,60249.8,137.448,2120.29,2.78475e+06,2.78475e+06
6.69855e+06,60041.3,135.622,2120.67,2.78387e+06,2.78387e+06
6.69856e+06,59828.2,133.755,2121.05,2.78294e+06,2.78294e+06
6.69857e+06,59619.6,131.928,2121.41,2.78200e+06,2.782e+06
6.69858e+06,59406.3,130.059,2121.75,2.78101e+06,2.78101e+06
6.69859e+06,59197.4,128.23,2122.08,2.78e+06,2.78e+06
6.6986e+06,58988.3,126.4,2122.39,2.77896e+06,2.77896e+06
6.69861e+06,58774.2,124.528,2122.68,2.77785e+06,2.77785e+06
6.69862e+06,58564.3,122.697,2122.96,2.77673e+06,2.77673e+06
6.69863e+06,58353.9,120.864,2123.22,2.77556e+06,2.77556e+06
6.69864e+06,58138.1,118.99,2123.47,2.77433e+06,2.77433e+06
6.69865e+06,57926.2,117.156,2123.69,2.77308e+06,2.77308e+06
6.69866e+06,57713.4,115.321,2123.9,2.77179e+06,2.77179e+06
6.69867e+06,57494.7,113.445,2124.09,2.77042e+06,2.77042e+06
6.69868e+06,57279.5,111.608,2124.27,2.76903e+06,2.76903e+06
6.69869e+06,57058,109.73,2124.43,2.76756e+06,2.76756e+06
6.6987e+06,56839.6,107.892,2124.57,2.76607e+06,2.76607e+06
6.69871e+06,56619.4,106.053,2124.7,2.76454e+06,2.76454e+06
6.69872e+06,56392.1,104.173,2124.81,2.76291e+06,2.76291e+06
6.69873e+06,56167.3,102.333,2124.9,2.76126e+06,2.76126e+06
6.69874e+06,55940,100.492,2124.98,2.75956e+06,2.75956e+06
6.69875e+06,55704.6,98.6099,2125.04,2.75776e+06,2.75776e+06
6.69876e+06,55471.1,96.7677,2125.08,2.75593e+06,2.75593e+06
6.69877e+06,55234.1,94.9247,2125.1,2.75403e+06,2.75403e+06
6.69878e+06,54991.3,93.0625,2125.11,2.75206e+06,2.75205e+06
6.69879e+06,54741.4,91.181,2125.1,2.74998e+06,2.74998e+06
6.6988e+06,54490.3,89.3249,2125.08,2.74785e+06,2.74785e+06
6.69881e+06,54234.3,87.4681,2125.03,2.74564e+06,2.74564e+06
6.69882e+06,53972.9,85.6105,2124.96,2.74335e+06,2.74335e+06
6.69883e+06,53705.6,83.7524,2124.88,2.74096e+06,2.74096e+06
6.69884e+06,53425.9,81.8539,2124.77,2.73842e+06,2.73842e+06
6.69885e+06,53150.2,80.0337,2124.65,2.73588e+06,2.73588e+06
6.69886e+06,52855,78.1324,2124.5,2.73312e+06,2.73312e+06
6.69887e+06,52564.3,76.3088,2124.33,2.73035e+06,2.73035e+06
6.69888e+06,52252.6,74.4062,2124.13,2.72733e+06,2.72733e+06
6.6989e+06,51931.6,72.5028,2123.89,2.72417e+06,2.72417e+06
6.6989e+06,51613.5,70.6705,2123.63,2.72097e+06,2.72097e+06
6.69891e+06,51283.8,68.8255,2123.34,2.7176e+06,2.7176e+06
6.69892e+06,50933.6,66.9275,2123,2.71396e+06,2.71396e+06
6.69893e+06,50581.6,65.0812,2122.62,2.71023e+06,2.71023e+06
6.69894e+06,50217.3,63.2342,2122.2,2.7063e+06,2.7063e+06
6.69895e+06,49829,61.3342,2121.72,2.70203e+06,2.70203e+06
6.69896e+06,49437.4,59.4859,2121.19,2.69763e+06,2.69763e+06
6.69897e+06,49019.2,57.5846,2120.58,2.69284e+06,2.69284e+06
6.69898e+06,48596.5,55.7351,2119.92,2.68789e+06,2.68789e+06
6.69899e+06,48144.1,53.8325,2119.16,2.68248e+06,2.68248e+06
6.699e+06,47682.4,51.9691,2118.32,2.67682e+06,2.67682e+06
6.69901e+06,47195.6,50.0841,2117.36,2.67069e+06,2.67069e+06
6.69902e+06,46699,48.2396,2116.31,2.66427e+06,2.66427e+06
6.69903e+06,46173.3,46.3687,2115.09,2.65726e+06,2.65726e+06
6.69904e+06,45623.4,44.4974,2113.71,2.64968e+06,2.64968e+06
6.69905e+06,45047.4,42.6259,2112.12,2.64143e+06,2.64143e+06
6.69906e+06,44443.4,40.7543,2110.28,2.63243e+06,2.63243e+06
6.69907e+06,43809.3,38.8827,2108.16,2.62257e+06,2.62257e+06
6.69908e+06,43133.2,36.9851,2105.68,2.61157e+06,2.61157e+06
6.69909e+06,42430.9,35.1142,2102.85,2.59961e+06,2.59961e+06
6.6991e+06,41690.5,33.244,2099.58,2.58639e+06,2.58639e+06
6.69911e+06,40910.3,31.3786,2095.8,2.57177e+06,2.57177e+06
6.69912e+06,40085.3,29.5147,2091.39,2.55543e+06,2.55543e+06
6.69913e+06,39196.9,27.6229,2086.09,2.5367e+06,2.5367e+06
6.69914e+06,38266.5,25.76,2079.86,2.51568e+06,2.51568e+06
6.69915e+06,37277.1,23.9006,2072.34,2.49148e+06,2.49148e+06
6.69916e+06,36222.6,22.0461,2063.02,2.46302e+06,2.46301e+06
6.69917e+06,35096,20.1982,2051.3,2.42908e+06,2.42908e+06
6.69918e+06,33889.2,18.3592,2036.45,2.38814e+06,2.38813e+06
6.69919e+06,32592.5,16.5323,2017.47,2.33825e+06,2.33825e+06
6.6992e+06,31174.1,14.6965,1992.66,2.27595e+06,2.27595e+06
6.69921e+06,29659.7,12.9083,1960.51,2.19897e+06,2.19897e+06
6.69922e+06,28015.4,11.1506,1917.46,2.10081e+06,2.10081e+06
6.69923e+06,26224.2,9.43547,1858.94,1.97422e+06,1.97422e+06
6.69924e+06,24264.6,7.7765,1779.32,1.81169e+06,1.81169e+06
6.69925e+06,22128.2,6.20304,1672.02,1.60711e+06,1.60711e+06
6.69926e+06,19789.5,4.73693,1526.46,1.35291e+06,1.35291e+06
6.69927e+06,17314.1,3.44091,1319.67,1.0358e+06,1.0358e+06
6.69928e+06,14746,2.35449,1077.5,721645,721645
6.69929e+06,14485,2.25824,1051.99,692045,692045
6.69929e+06,14223.7,2.16441,1026.35,662954,662954
6.69929e+06,13962.4,2.07303,1000.59,634403,634403
6.69929e+06,13701.1,1.98411,974.747,606428,606428
6.69929e+06,13439.9,1.89765,948.836,579058,579058
6.69929e+06,13179,1.81367,922.885,552323,552323
6.69929e+06,12918.6,1.73217,896.914,526245,526245
6.69929e+06,12658.8,1.65316,870.952,500854,500854
6.69929e+06,12399.8,1.57663,845.025,476172,476172
6.69929e+06,12141.6,1.50259,819.173,452229,452229
6.6993e+06,11884.6,1.43103,793.41,429034,429034
6.6993e+06,11628.9,1.36194,767.776,406612,406612
6.6993e+06,11374.7,1.29532,742.308,384983,384983
6.6993e+06,11122.1,1.23114,717.042,364160,364160
6.6993e+06,10871.3,1.1694,692.02,344160,344160
6.6993e+06,10622.5,1.11006,667.277,324988,324988
6.6993e+06,10375.8,1.0531,642.86,306657,306657
6.6993e+06,10131.4,0.998491,618.811,289168,289168
6.6993e+06,9889.31,0.946202,595.179,272527,272527
6.6993e+06,9649.78,0.896195,571.992,256722,256722
6.69931e+06,9412.89,0.848428,549.267,241730,241730
6.69931e+06,9178.76,0.802862,527.015,227529,227529
6.69931e+06,8947.52,0.759452,505.269,214104,214104
6.69931e+06,8719.28,0.718154,484.076,201447,201447
6.69931e+06,8494.09,0.67891,463.573,189586,189586
6.69931e+06,8272.03,0.641663,443.669,178439,178439
6.69931e+06,8053.22,0.606364,424.204,167904,167904
6.69931e+06,7837.95,0.572991,404.432,157655,157655
6.69931e+06,7627.39,0.541643,382.272,146926,146926
6.69931e+06,7423.47,0.512527,357.496,135811,135811
6.69932e+06,7227.51,0.485747,332.892,125443,125443
6.69932e+06,7038.4,0.461079,313.957,117507,117507
6.69932e+06,6852.48,0.437967,302.139,112085,112085
6.69932e+06,6666.7,0.41597,294.68,108078,108078
6.69932e+06,6479.36,0.394839,289.603,104797,104797
6.69932e+06,6289.62,0.374439,285.821,101887,101887
6.69932e+06,6097.13,0.354701,282.739,99162,99161.5
6.69932e+06,5901.75,0.335582,280.143,96553,96552.6
6.69932e+06,5703.43,0.317049,277.956,94035,94034.7
6.69932e+06,5502.15,0.299074,276.113,91587,91586.7
6.69933e+06,5297.93,0.281631,274.557,89191,89190.9
6.69933e+06,5090.8,0.2647,273.238,86833,86833
6.69933e+06,4880.82,0.24826,272.113,84501,84501.1
6.69933e+06,4668.07,0.232293,271.148,82185,82185.3
6.69933e+06,4452.67,0.216785,270.308,79877,79877.4
6.69933e+06,4234.71,0.201719,269.569,77571,77571
6.69933e+06,4014.33,0.187081,268.905,75260,75260.5
6.69933e+06,3791.63,0.17286,268.298,72942,72941.5
6.69933e+06,3566.77,0.159045,267.728,70611,70610.5
6.69933e+06,3339.86,0.145627,267.182,68265,68264.6
6.69934e+06,3111.03,0.1326,266.646,65901,65901.4
